iter	Passed	Remaining
417	2826	3935
418	2833	3929
419	2839	3921
420	2847	3916
421	2853	3908
422	2860	3901
423	2866	3894
424	2873	3888
425	2880	3881
426	2887	3874
427	2893	3866
428	2900	3860
429	2906	3853
430	2913	3846
431	2920	3840
432	2927	3833
433	2934	3826
434	2941	3819
435	2948	3813
436	2954	3806
437	2961	3800
438	2967	3792
439	2974	3785
440	2981	3778
441	2987	3771
442	2994	3764
443	3000	3757
444	3007	3750
445	3014	3745
446	3020	3737
447	3026	3729
448	3032	3721
449	3038	3713
450	3044	3706
451	3050	3698
452	3056	3690
453	3062	3682
454	3067	3674
455	3073	3666
456	3082	3662
457	3088	3655
458	3095	3648
459	3101	3640
460	3106	3632
461	3112	3625
462	3118	3617
463	3125	3609
464	3130	3601
465	3135	3593
466	3142	3586
467	3147	3577
468	3152	3569
469	3158	3562
470	3164	3554
471	3170	3546
472	3177	3539
473	3182	3531
474	3190	3525
475	3197	3519
476	3203	3512
477	3209	3505
478	3215	3497
479	3220	3489
480	3226	3481
481	3232	3474
482	3239	3467
483	3245	3460
484	3251	3452
485	3258	3445
486	3265	3440
487	3271	3432
488	3277	3425
489	3283	3417
490	3289	3410
491	3294	3402
492	3300	3394
493	3306	3387
494	3312	3379
495	3317	3371
496	3323	3363
497	3328	3355
498	3334	3347
499	3340	3340
500	3345	3332
501	3351	3324
502	3357	3317
503	3363	3310
504	3369	3302
505	3374	3294
506	3380	3286
507	3385	3279
508	3392	3272
509	3397	3264
510	3403	3257
511	3410	3251
512	3417	3244
513	3424	3237
514	3429	3230
515	3436	3223
516	3441	3215
517	3447	3207
518	3453	3200
519	3459	3193
520	3465	3186
521	3471	3179
522	3477	3171
523	3482	3163
524	3490	3158
525	3496	3150
526	3502	3143
527	3508	3136
528	3513	3128
529	3519	3120
530	3524	3112
531	3530	3105
532	3536	3098
533	3541	3090
534	3546	3082
535	3552	3075
536	3557	3067
537	3563	3060
538	3569	3052
539	3574	3045
540	3579	3037
541	3585	3029
542	3590	3022
543	3596	3014
544	3602	3007
545	3608	3000
546	3613	2992
547	3619	2985
548	3624	2977
549	3630	2970
550	3636	2963
551	3641	2955
552	3647	2948
553	3654	2941
554	3659	2934
555	3665	2927
556	3670	2919
557	3675	2911
558	3681	2904
559	3687	2897
560	3692	2889
561	3698	2882
562	3703	2874
563	3709	2867
